mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_samples,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6653019905090332,0.041521944134026254,0.01278080940246582,0.0010017672066078747,0.8,0.1,-1,10,500,50,0.0,0.5,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 10, 'n_estimators': 500, 'num_leaves': 50, 'reg_alpha': 0.0, 'reg_lambda': 0.5, 'subsample': 0.8}",-0.012430239372109676,-0.011670476982237577,-0.011706273791605904,-0.012369872383641893,-0.012730118013494664,-0.012181396108617942,0.0004207901079511784,229
0.6407341003417969,0.008387682204767197,0.011585187911987305,0.0005898514464550531,0.8,0.1,-1,10,500,50,0.0,1.0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 10, 'n_estimators': 500, 'num_leaves': 50, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'subsample': 0.8}",-0.012528592768267835,-0.011893853357501689,-0.011779425472267355,-0.012228738766906593,-0.012515295657052315,-0.012189181204399158,0.00030926815026334123,232
0.3423351764678955,0.03020504532962452,0.005517148971557617,0.000554686296146211,0.8,0.1,-1,10,500,50,0.5,0.0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 10, 'n_estimators': 500, 'num_leaves': 50, 'reg_alpha': 0.5, 'reg_lambda': 0.0, 'subsample': 0.8}",-0.012255406424731092,-0.011481731638761873,-0.01159289395709997,-0.012218845516358958,-0.012142709225870577,-0.011938317352564492,0.000331302099125806,121
0.33740482330322263,0.014738831016973332,0.005426979064941407,0.00033781809731278536,0.8,0.1,-1,10,500,50,0.5,0.5,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 10, 'n_estimators': 500, 'num_leaves': 50, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",-0.012032602321895203,-0.011655808549663494,-0.011610765198120503,-0.012433744463853617,-0.012074877711584416,-0.011961559649023446,0.0003024523187451718,125
0.3417944431304932,0.010952338703197454,0.0056439399719238285,0.0003849915297624721,0.8,0.1,-1,10,500,50,0.5,1.0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 10, 'n_estimators': 500, 'num_leaves': 50, 'reg_alpha': 0.5, 'reg_lambda': 1.0, 'subsample': 0.8}",-0.011991716973081178,-0.011671870700273326,-0.01171404530672081,-0.012477851346130876,-0.012298319243830303,-0.0120307607140073,0.0003168951577698312,155
0.20107645988464357,0.003647296354052027,0.004071044921875,7.81620904302797e-05,0.8,0.1,-1,10,500,50,1.0,0.0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 10, 'n_estimators': 500, 'num_leaves': 50, 'reg_alpha': 1.0, 'reg_lambda': 0.0, 'subsample': 0.8}",-0.011973605842563895,-0.011315539459486624,-0.011240046303042976,-0.012018322594162283,-0.012205701838381062,-0.011750643207527367,0.0003945801359912233,33
0.21940689086914061,0.02545977665976691,0.004112625122070312,0.0003145316933807038,0.8,0.1,-1,10,500,50,1.0,0.5,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 10, 'n_estimators': 500, 'num_leaves': 50, 'reg_alpha': 1.0, 'reg_lambda': 0.5, 'subsample': 0.8}",-0.011808700953611424,-0.011311426647976318,-0.011344489102766055,-0.011933202622032811,-0.01219133762281083,-0.011717831389839489,0.00034158438941654667,21
0.24829163551330566,0.040454249694227076,0.004999876022338867,0.0014086666398246178,0.8,0.1,-1,10,500,50,1.0,1.0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 10, 'n_estimators': 500, 'num_leaves': 50, 'reg_alpha': 1.0, 'reg_lambda': 1.0, 'subsample': 0.8}",-0.011720889840596684,-0.011236517919039624,-0.011477830203933479,-0.011989479913215355,-0.012146216754858845,-0.011714186926328796,0.0003306094708789782,9
1.204143190383911,0.02602052125532436,0.022864151000976562,0.0023455656134586393,0.8,0.1,-1,10,500,100,0.0,0.0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 10, 'n_estimators': 500, 'num_leaves': 100, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'subsample': 0.8}",-0.012444665073046575,-0.011959533169700704,-0.011704559187674303,-0.012728506761199942,-0.012553708717282413,-0.012278194581780786,0.0003839281659835036,243
1.2195943355560304,0.04370533446015088,0.021582984924316408,0.0003157987273184099,0.8,0.1,-1,10,500,100,0.0,0.5,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 10, 'n_estimators': 500, 'num_leaves': 100, 'reg_alpha': 0.0, 'reg_lambda': 0.5, 'subsample': 0.8}",-0.012269985472661856,-0.011565157293229298,-0.011644148177089296,-0.012541079572602344,-0.01255835419796377,-0.012115744942709313,0.00043038422610648186,201
